Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
Employment Practices and Workplace Safety,Employee Relations,41593,41594,2013,18952.97,4927.7722,27600,26
"Execution, Delivery and Process Management",Customer/Client Account Management,41594,41597,2013,158330.78,61749.0042,163400,39
External Fraud,Theft and Fraud,41597,41600,2013,175055.13,61269.2955,175700,35
External Fraud,Theft and Fraud,41607,41608,2013,132154.47,26430.894,145900,20
"Execution, Delivery and Process Management",Transaction/Data Management,41607,41608,2013,10765087.47,3444827.99,10783000,32
External Fraud,Systems Security,41611,41614,2013,52985.45,11656.799,64100,22
External Fraud,Theft and Fraud,41611,41612,2013,179902.06,57568.6592,181800,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,41611,41614,2013,177173.14,40749.8222,174000,23
External Fraud,Theft and Fraud,41614,41616,2013,86495.21,19893.8983,83300,23
"Execution, Delivery and Process Management",Trade Counterparties,41622,41623,2013,567884.51,147649.9726,569500,26
"Execution, Delivery and Process Management",Reporting and Disclosure,41626,41629,2013,30896.66,10813.831,41700,35
External Fraud,Theft and Fraud,41631,41634,2013,118582.14,33202.9992,133300,28
"Execution, Delivery and Process Management",Reporting and Disclosure,41632,41634,2013,50738.44,18773.2228,48900,37
"Execution, Delivery and Process Management",Trade Counterparties,41633,41634,2013,745078.26,253326.6084,759000,34
Internal Fraud,Unauthorized Activity,41636,41638,2013,190330.5,51389.235,194300,27
"Clients, Products and Business Practices",Product Flaws,41643,41644,2014,125241.4,48844.146,120900,39
Employment Practices and Workplace Safety,Safe Environment,41644,41645,2014,203646.85,73312.866,201000,36
External Fraud,Theft and Fraud,41646,41649,2014,68045.22,26537.6358,85700,39
"Execution, Delivery and Process Management",Reporting and Disclosure,41647,41650,2014,846942.24,203266.1376,854800,24
"Execution, Delivery and Process Management",Customer Intake and Documentation,41647,41650,2014,123391.74,44421.0264,127500,36
External Fraud,Systems Security,41653,41656,2014,243129.17,63213.5842,241800,26
Employment Practices and Workplace Safety,Diversity and Discrimination,41659,41662,2014,14146.19,3960.9332,22100,28
External Fraud,Theft and Fraud,41659,41661,2014,182052.79,61897.9486,191500,34
"Execution, Delivery and Process Management",Trade Counterparties,41661,41662,2014,13702.3,4658.782,18900,34
"Execution, Delivery and Process Management",Reporting and Disclosure,41661,41663,2014,25835.12,9817.3456,26500,38
External Fraud,Theft and Fraud,41662,41663,2014,217861.76,61001.2928,224800,28
External Fraud,Theft and Fraud,41662,41664,2014,218230.98,85110.0822,225100,39
"Execution, Delivery and Process Management",Vendors and Suppliers,41662,41664,2014,477408.03,100255.6863,481200,21
"Execution, Delivery and Process Management",Customer/Client Account Management,41667,41668,2014,391760.61,148869.0318,402200,38
External Fraud,Systems Security,41670,41671,2014,173393.94,62421.8184,175800,36
External Fraud,Theft and Fraud,41670,41673,2014,334465.32,110373.5556,344700,33
External Fraud,Theft and Fraud,41671,41674,2014,278541.2,89133.184,275300,32
External Fraud,Theft and Fraud,41674,41675,2014,50897.65,17814.1775,65600,35
"Execution, Delivery and Process Management",Transaction/Data Management,41680,41681,2014,623801.99,199616.6368,626900,32
External Fraud,Systems Security,41682,41685,2014,125226.11,26297.4831,130100,21
"Execution, Delivery and Process Management",Customer Intake and Documentation,41682,41684,2014,306695.06,104276.3204,314500,34
Employment Practices and Workplace Safety,Employee Relations,41684,41686,2014,19785.1,7320.487,28300,37
"Execution, Delivery and Process Management",Trade Counterparties,41688,41690,2014,1000493.95,300148.185,1008300,30
"Execution, Delivery and Process Management",Reporting and Disclosure,41691,41693,2014,555900.58,200124.2088,555700,36
External Fraud,Theft and Fraud,41691,41692,2014,155296.86,54353.901,165900,35
"Execution, Delivery and Process Management",Trade Counterparties,41692,41695,2014,110271.63,36389.6379,120300,33
"Execution, Delivery and Process Management",Reporting and Disclosure,41694,41696,2014,172337.59,51701.277,172300,30
"Execution, Delivery and Process Management",Reporting and Disclosure,41697,41699,2014,801238.26,248383.8606,798100,31
"Clients, Products and Business Practices",Advisory Activities,41698,41699,2014,92671.83,21314.5209,99500,23
Internal Fraud,Theft and Fraud,41699,41700,2014,33962.89,7471.8358,31800,22
External Fraud,Theft and Fraud,41707,41708,2014,13895.35,5558.14,23700,40
Internal Fraud,Unauthorized Activity,41708,41709,2014,172561.97,48317.3516,182200,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,41710,41711,2014,71627.59,15041.7939,82400,21
External Fraud,Theft and Fraud,41717,41720,2014,2036.45,407.29,1800,20
External Fraud,Systems Security,41725,41726,2014,30237.74,10885.5864,45200,36
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",41726,41727,2014,289406.92,98398.3528,282000,34
Employment Practices and Workplace Safety,Safe Environment,41728,41729,2014,149300.56,46283.1736,158600,31
Employment Practices and Workplace Safety,Safe Environment,41729,41732,2014,110366.69,32006.3401,118100,29
"Execution, Delivery and Process Management",Trade Counterparties,41730,41732,2014,568759.31,164940.1999,565600,29
Employment Practices and Workplace Safety,Diversity and Discrimination,41732,41734,2014,361967.88,123069.0792,361100,34
Internal Fraud,Theft and Fraud,41733,41736,2014,41145.53,15223.8461,44700,37
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",41736,41737,2014,452727.89,167509.3193,459800,37
"Execution, Delivery and Process Management",Reporting and Disclosure,41737,41740,2014,945.28,226.8672,-3100,24
External Fraud,Theft and Fraud,41738,41741,2014,12938.16,3493.3032,23400,27
"Clients, Products and Business Practices",Improper Business or Market Practices,41738,41740,2014,50105.76,15532.7856,53300,31
External Fraud,Theft and Fraud,41743,41744,2014,178691,53607.3,185500,30
External Fraud,Theft and Fraud,41743,41744,2014,210266.6,69387.978,207300,33
"Clients, Products and Business Practices",Product Flaws,41746,41748,2014,8794621.61,1758924.322,8812600,20
External Fraud,Systems Security,41748,41751,2014,32685.88,10132.6228,45100,31
Employment Practices and Workplace Safety,Employee Relations,41748,41751,2014,6724.76,1950.1804,18500,29
External Fraud,Theft and Fraud,41750,41753,2014,177517.17,39053.7774,170900,22
"Execution, Delivery and Process Management",Vendors and Suppliers,41758,41761,2014,114956.61,36786.1152,112500,32
External Fraud,Theft and Fraud,41761,41763,2014,34288.11,7200.5031,47800,21
"Execution, Delivery and Process Management",Customer/Client Account Management,41764,41767,2014,108387.05,39019.338,122700,36
"Execution, Delivery and Process Management",Transaction/Data Management,41768,41770,2014,795652.73,198913.1825,796200,25
"Execution, Delivery and Process Management",Customer Intake and Documentation,41776,41778,2014,35013.31,8753.3275,45500,25
External Fraud,Theft and Fraud,41779,41780,2014,211757.16,61409.5764,227900,29
"Execution, Delivery and Process Management",Trade Counterparties,41781,41782,2014,600557.65,168156.142,592200,28
External Fraud,Systems Security,41781,41784,2014,86956.8,18260.928,96500,21
"Execution, Delivery and Process Management",Reporting and Disclosure,41784,41785,2014,555600.85,211128.323,566500,38
"Execution, Delivery and Process Management",Trade Counterparties,41788,41789,2014,287445.09,74735.7234,291100,26
External Fraud,Theft and Fraud,41788,41790,2014,65064.49,22121.9266,71800,34
External Fraud,Theft and Fraud,41790,41793,2014,225098.79,54023.7096,230300,24
External Fraud,Theft and Fraud,41794,41797,2014,123889.75,30972.4375,132900,25
"Clients, Products and Business Practices",Advisory Activities,41794,41797,2014,168838.17,57404.9778,174500,34
"Execution, Delivery and Process Management",Reporting and Disclosure,41800,41803,2014,685481.93,205644.579,690800,30
Employment Practices and Workplace Safety,Safe Environment,41801,41804,2014,202825.8,77073.804,209200,38
"Execution, Delivery and Process Management",Reporting and Disclosure,41806,41809,2014,227467.15,56866.7875,235000,25
Business Disruption and System Failures,Infrastructure and Systems,41808,41809,2014,525675.09,162959.2779,543800,31
"Execution, Delivery and Process Management",Customer Intake and Documentation,41808,41811,2014,383986.65,115195.995,388900,30
External Fraud,Systems Security,41810,41811,2014,277132.24,74825.7048,275100,27
"Execution, Delivery and Process Management",Trade Counterparties,41811,41814,2014,884227.14,318321.7704,896700,36
"Execution, Delivery and Process Management",Reporting and Disclosure,41813,41815,2014,757786.51,189446.6275,765200,25
External Fraud,Theft and Fraud,41821,41823,2014,166892.05,61750.0585,173200,37
"Execution, Delivery and Process Management",Vendors and Suppliers,41822,41823,2014,563874.57,197356.0995,567000,35
"Execution, Delivery and Process Management",Customer/Client Account Management,41823,41826,2014,376994.01,124408.0233,372300,33
"Clients, Products and Business Practices",Product Flaws,41825,41828,2014,171829.53,44675.6778,186200,26
"Execution, Delivery and Process Management",Transaction/Data Management,41830,41833,2014,8514.84,2469.3036,23400,29
External Fraud,Theft and Fraud,41834,41836,2014,262083.99,55037.6379,256100,21
"Execution, Delivery and Process Management",Customer Intake and Documentation,41839,41842,2014,24243.71,7273.113,25000,30
External Fraud,Theft and Fraud,41839,41840,2014,267792.78,83015.7618,268400,31
External Fraud,Systems Security,41841,41844,2014,93672.13,22481.3112,106700,24
External Fraud,Theft and Fraud,41842,41845,2014,204456.09,75648.7533,206600,37
"Execution, Delivery and Process Management",Trade Counterparties,41849,41850,2014,104665.64,37679.6304,114500,36
Internal Fraud,Theft and Fraud,41850,41853,2014,17361.42,4861.1976,25800,28
Employment Practices and Workplace Safety,Diversity and Discrimination,41851,41853,2014,91879.89,18375.978,88300,20
External Fraud,Theft and Fraud,41853,41856,2014,6415.88,1924.764,8600,30
External Fraud,Theft and Fraud,41859,41860,2014,72035.07,20169.8196,80700,28
"Execution, Delivery and Process Management",Reporting and Disclosure,41859,41862,2014,1046916.05,251259.852,1038100,24
External Fraud,Systems Security,41864,41866,2014,26938.34,8620.2688,24600,32
External Fraud,Theft and Fraud,41868,41869,2014,219564.82,83434.6316,231200,38
External Fraud,Theft and Fraud,41868,41871,2014,167003.26,53441.0432,173700,32
External Fraud,Theft and Fraud,41869,41870,2014,202554.81,46587.6063,214600,23
"Clients, Products and Business Practices",Advisory Activities,41882,41883,2014,124949.26,32486.8076,140200,26
Business Disruption and System Failures,Infrastructure and Systems,41883,41884,2014,35412.96,12040.4064,49100,34
"Execution, Delivery and Process Management",Reporting and Disclosure,41883,41886,2014,439280.1,175712.04,437700,40
External Fraud,Systems Security,41884,41886,2014,174257.17,34851.434,182900,20
"Execution, Delivery and Process Management",Trade Counterparties,41885,41886,2014,87001.93,34800.772,103000,40
External Fraud,Theft and Fraud,41891,41894,2014,80039.35,28814.166,96700,36
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",41899,41901,2014,866020.91,337748.1549,859700,39
"Execution, Delivery and Process Management",Reporting and Disclosure,41899,41902,2014,308084.98,110910.5928,312100,36
Employment Practices and Workplace Safety,Employee Relations,41902,41905,2014,178655.56,58956.3348,187700,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,41906,41907,2014,632562.6,145489.398,640900,23
"Execution, Delivery and Process Management",Trade Counterparties,41911,41914,2014,639025.71,236439.5127,635200,37
"Execution, Delivery and Process Management",Reporting and Disclosure,41914,41915,2014,963078.74,385231.496,959300,40
Employment Practices and Workplace Safety,Safe Environment,41916,41917,2014,176254.87,49351.3636,188600,28
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",41921,41924,2014,242433.37,87276.0132,247800,36
"Execution, Delivery and Process Management",Vendors and Suppliers,41930,41932,2014,1041508.13,229131.7886,1056400,22
External Fraud,Theft and Fraud,41932,41933,2014,269574.1,99742.417,282300,37
"Clients, Products and Business Practices",Improper Business or Market Practices,41943,41944,2014,268043.98,75052.3144,275200,28
External Fraud,Theft and Fraud,41948,41951,2014,196898.56,39379.712,193400,20
"Execution, Delivery and Process Management",Customer/Client Account Management,41951,41952,2014,12498.1,3499.468,16800,28
External Fraud,Systems Security,41951,41954,2014,191879.92,59482.7752,188300,31
"Execution, Delivery and Process Management",Transaction/Data Management,41954,41957,2014,913291.6,356183.724,910300,39
External Fraud,Theft and Fraud,41958,41960,2014,170323.48,40877.6352,163600,24
"Execution, Delivery and Process Management",Customer Intake and Documentation,41960,41963,2014,256177.92,53797.3632,255700,21
"Clients, Products and Business Practices",Product Flaws,41961,41964,2014,61408.12,20878.7608,58500,34
"Execution, Delivery and Process Management",Trade Counterparties,41963,41966,2014,193684.14,58105.242,207200,30
External Fraud,Theft and Fraud,41965,41968,2014,697433.55,230153.0715,709500,33
Internal Fraud,Unauthorized Activity,41966,41969,2014,34898.19,11516.4027,31900,33
Employment Practices and Workplace Safety,Safe Environment,41968,41971,2014,1533864.48,322111.5408,1538900,21
"Execution, Delivery and Process Management",Reporting and Disclosure,41973,41976,2014,56094.19,11218.838,53900,20
Damage to Physical Assets,Willful Damage,41974,41977,2014,217607.19,65282.157,222700,30
External Fraud,Theft and Fraud,41979,41980,2014,31976.92,10552.3836,44400,33
Internal Fraud,Theft and Fraud,41985,41988,2014,145905.75,45230.7825,157300,31
"Execution, Delivery and Process Management",Trade Counterparties,41987,41988,2014,310248.09,80664.5034,306400,26
"Execution, Delivery and Process Management",Reporting and Disclosure,41991,41993,2014,226270.85,52042.2955,240000,23
"Execution, Delivery and Process Management",Reporting and Disclosure,41997,41998,2014,33424.31,9024.5637,37200,27
External Fraud,Systems Security,41997,42000,2014,112527.96,38259.5064,118600,34
External Fraud,Theft and Fraud,42007,42010,2015,162538.65,35758.503,173000,22
Employment Practices and Workplace Safety,Diversity and Discrimination,42008,42011,2015,214323.61,81442.9718,224200,38
External Fraud,Theft and Fraud,42008,42011,2015,93890.26,30044.8832,90600,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,42012,42013,2015,393801.49,122078.4619,404600,31
External Fraud,Theft and Fraud,42016,42017,2015,12591.11,4910.5329,14700,39
"Execution, Delivery and Process Management",Trade Counterparties,42017,42020,2015,606331.9,218279.484,613500,36
External Fraud,Systems Security,42017,42020,2015,220785.08,79482.6288,213900,36
"Execution, Delivery and Process Management",Reporting and Disclosure,42019,42020,2015,551.81,171.0611,-5400,31
External Fraud,Theft and Fraud,42026,42029,2015,96009.02,34563.2472,95600,36
"Execution, Delivery and Process Management",Vendors and Suppliers,42028,42029,2015,122813.21,33159.5667,132200,27
External Fraud,Theft and Fraud,42029,42030,2015,184788.87,66523.9932,197600,36
"Execution, Delivery and Process Management",Customer/Client Account Management,42030,42032,2015,84325.04,26984.0128,102400,32
External Fraud,Theft and Fraud,42034,42035,2015,509998.62,173399.5308,517700,34
Employment Practices and Workplace Safety,Employee Relations,42037,42040,2015,2793.82,754.3314,1000,27
External Fraud,Theft and Fraud,42037,42039,2015,190318.01,45676.3224,198200,24
External Fraud,Theft and Fraud,42037,42040,2015,171533.6,66898.104,171000,39
Employment Practices and Workplace Safety,Safe Environment,42037,42040,2015,405195.68,105350.8768,404300,26
External Fraud,Systems Security,42038,42039,2015,791913.92,300927.2896,796900,38
External Fraud,Theft and Fraud,42049,42052,2015,144768,46325.76,153100,32
"Execution, Delivery and Process Management",Transaction/Data Management,42050,42051,2015,-1029.93,-267.7818,1900,26
"Execution, Delivery and Process Management",Customer Intake and Documentation,42051,42054,2015,263815.13,73868.2364,275600,28
Employment Practices and Workplace Safety,Diversity and Discrimination,42052,42053,2015,173525.14,69410.056,190000,40
"Clients, Products and Business Practices",Advisory Activities,42052,42054,2015,93763.92,30004.4544,100600,32
"Execution, Delivery and Process Management",Trade Counterparties,42054,42055,2015,873026.61,296829.0474,872500,34
"Execution, Delivery and Process Management",Reporting and Disclosure,42055,42058,2015,211793.33,78363.5321,205200,37
"Clients, Products and Business Practices",Product Flaws,42062,42065,2015,242755.18,70399.0022,240000,29
Business Disruption and System Failures,Infrastructure and Systems,42066,42069,2015,807828,169643.88,814600,21
"Execution, Delivery and Process Management",Reporting and Disclosure,42067,42070,2015,339306.81,91612.8387,342900,27
"Execution, Delivery and Process Management",Trade Counterparties,42067,42069,2015,455874.97,127644.9916,463900,28
External Fraud,Systems Security,42068,42071,2015,191367.61,53582.9308,189700,28
External Fraud,Theft and Fraud,42073,42076,2015,93570.31,25263.9837,91300,27
"Execution, Delivery and Process Management",Reporting and Disclosure,42076,42079,2015,32751.31,12445.4978,43700,38
"Execution, Delivery and Process Management",Customer Intake and Documentation,42078,42080,2015,188988.56,62366.2248,201900,33
External Fraud,Theft and Fraud,42078,42080,2015,89624.4,31368.54,94000,35
Employment Practices and Workplace Safety,Employee Relations,42078,42081,2015,35359.08,12022.0872,36600,34
"Execution, Delivery and Process Management",Trade Counterparties,42080,42083,2015,161451.6,61351.608,166700,38
External Fraud,Theft and Fraud,42083,42086,2015,784060.45,250899.344,791500,32
"Execution, Delivery and Process Management",Vendors and Suppliers,42086,42089,2015,949052.11,237263.0275,946400,25
"Execution, Delivery and Process Management",Reporting and Disclosure,42088,42089,2015,185893.29,65062.6515,187600,35
External Fraud,Systems Security,42090,42091,2015,1491.75,298.35,1400,20
"Clients, Products and Business Practices",Advisory Activities,42095,42096,2015,278747.41,72474.3266,279900,26
External Fraud,Theft and Fraud,42097,42100,2015,132063.64,30374.6372,144800,23
External Fraud,Theft and Fraud,42097,42098,2015,161574.54,38777.8896,168200,24
Employment Practices and Workplace Safety,Safe Environment,42105,42106,2015,118538.21,28449.1704,135000,24
External Fraud,Theft and Fraud,42105,42106,2015,59357.3,16026.471,54100,27
"Execution, Delivery and Process Management",Customer/Client Account Management,42107,42108,2015,384702.73,103869.7371,383600,27
External Fraud,Systems Security,42110,42113,2015,96145.07,26920.6196,97100,28
"Execution, Delivery and Process Management",Transaction/Data Management,42111,42114,2015,104654.98,30349.9442,114200,29
External Fraud,Theft and Fraud,42113,42115,2015,33081.61,13232.644,32200,40
"Execution, Delivery and Process Management",Customer Intake and Documentation,42114,42115,2015,73827.35,14765.47,80900,20
Employment Practices and Workplace Safety,Safe Environment,42114,42115,2015,223444.92,69267.9252,231700,31
"Execution, Delivery and Process Management",Trade Counterparties,42120,42121,2015,79858.49,15971.698,80100,20
